dataset,subject,method,accuracy,kappa,erd_C3_mu,erd_C3_beta,erd_C3_comp,erd_C4_mu,erd_C4_beta,erd_C4_comp
BNCI2014_004,7,tent,0.8416666666666667,0.6833333333333333,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,7,ek_tta,0.8611111111111112,0.7222222222222222,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,7,ek_tent,0.8597222222222223,0.7194444444444444,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,8,no_adapt,0.7460526315789474,0.4921052631578947,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,tent,0.7210526315789474,0.4421052631578948,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,ek_tta,0.8026315789473685,0.6052631578947368,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,ek_tent,0.8013157894736842,0.6026315789473684,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,9,no_adapt,0.7694444444444445,0.5388888888888889,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
BNCI2014_004,9,tent,0.6291666666666667,0.2583333333333333,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
BNCI2014_004,9,ek_tta,0.6916666666666667,0.3833333333333333,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
BNCI2014_004,9,ek_tent,0.6958333333333333,0.3916666666666667,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
