dataset,subject,train_mode,test_mode,label,accuracy,kappa,erd_group,erd_value
PhysioNetMI,6,raw,tent,TENT,0.8222222222222222,0.6491228070175439,ERS,10.995765876875197
PhysioNetMI,6,raw,erd_align,ERD-Align (raw train),0.8222222222222222,0.6491228070175439,ERS,10.995765876875197
PhysioNetMI,6,ea,no_adapt,EA-train + No-adapt,0.8,0.6064139941690962,ERS,10.995765876875197
PhysioNetMI,6,ea,std_ea,EA-train + Std-EA,0.8,0.6041055718475073,ERS,10.995765876875197
PhysioNetMI,6,ea,erd_align,EA-train + ERD-Align ★,0.8,0.6064139941690962,ERS,10.995765876875197
PhysioNetMI,6,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8,0.6086956521739131,ERS,10.995765876875197
PhysioNetMI,6,ea,tent,EA-train + TENT,0.8,0.6086956521739131,ERS,10.995765876875197
PhysioNetMI,7,raw,no_adapt,No-adapt (baseline),0.9111111111111111,0.8221343873517787,ERS,15.820486040314954
PhysioNetMI,7,raw,tent,TENT,0.9111111111111111,0.8221343873517787,ERS,15.820486040314954
PhysioNetMI,7,raw,erd_align,ERD-Align (raw train),0.9111111111111111,0.8221343873517787,ERS,15.820486040314954
PhysioNetMI,7,ea,no_adapt,EA-train + No-adapt,0.8888888888888888,0.7774480712166172,ERS,15.820486040314954
PhysioNetMI,7,ea,std_ea,EA-train + Std-EA,0.9333333333333333,0.8664688427299703,ERS,15.820486040314954
PhysioNetMI,7,ea,erd_align,EA-train + ERD-Align ★,0.8888888888888888,0.7774480712166172,ERS,15.820486040314954
PhysioNetMI,7,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.9333333333333333,0.8664688427299703,ERS,15.820486040314954
PhysioNetMI,7,ea,tent,EA-train + TENT,0.9333333333333333,0.8664688427299703,ERS,15.820486040314954
PhysioNetMI,8,raw,no_adapt,No-adapt (baseline),0.7777777777777778,0.5562130177514792,ERS,-6.511097326446297
PhysioNetMI,8,raw,tent,TENT,0.7777777777777778,0.5562130177514792,ERS,-6.511097326446297
PhysioNetMI,8,raw,erd_align,ERD-Align (raw train),0.7777777777777778,0.5562130177514792,ERS,-6.511097326446297
PhysioNetMI,8,ea,no_adapt,EA-train + No-adapt,0.7111111111111111,0.42250740375123397,ERS,-6.511097326446297
PhysioNetMI,8,ea,std_ea,EA-train + Std-EA,0.7111111111111111,0.4247787610619469,ERS,-6.511097326446297
PhysioNetMI,8,ea,erd_align,EA-train + ERD-Align ★,0.7111111111111111,0.42250740375123397,ERS,-6.511097326446297
PhysioNetMI,8,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6888888888888889,0.3823529411764707,ERS,-6.511097326446297
PhysioNetMI,8,ea,tent,EA-train + TENT,0.6888888888888889,0.3823529411764707,ERS,-6.511097326446297
PhysioNetMI,9,raw,no_adapt,No-adapt (baseline),0.8666666666666667,0.736842105263158,ERS,5.638986391119991
PhysioNetMI,9,raw,tent,TENT,0.8444444444444444,0.6902654867256637,ERS,5.638986391119991
PhysioNetMI,9,raw,erd_align,ERD-Align (raw train),0.8666666666666667,0.736842105263158,ERS,5.638986391119991
PhysioNetMI,9,ea,no_adapt,EA-train + No-adapt,0.7333333333333333,0.4767441860465116,ERS,5.638986391119991
PhysioNetMI,9,ea,std_ea,EA-train + Std-EA,0.7111111111111111,0.44126074498567336,ERS,5.638986391119991
PhysioNetMI,9,ea,erd_align,EA-train + ERD-Align ★,0.7333333333333333,0.4767441860465116,ERS,5.638986391119991
PhysioNetMI,9,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8,0.6064139941690962,ERS,5.638986391119991
PhysioNetMI,9,ea,tent,EA-train + TENT,0.8,0.6064139941690962,ERS,5.638986391119991
PhysioNetMI,10,raw,no_adapt,No-adapt (baseline),0.6666666666666666,0.33234421364985156,ERS,8.188934658968217
PhysioNetMI,10,raw,tent,TENT,0.7777777777777778,0.5535714285714286,ERS,8.188934658968217
PhysioNetMI,10,raw,erd_align,ERD-Align (raw train),0.6666666666666666,0.33234421364985156,ERS,8.188934658968217
PhysioNetMI,10,ea,no_adapt,EA-train + No-adapt,0.7111111111111111,0.42815249266862176,ERS,8.188934658968217
PhysioNetMI,10,ea,std_ea,EA-train + Std-EA,0.8222222222222222,0.6449704142011834,ERS,8.188934658968217
PhysioNetMI,10,ea,erd_align,EA-train + ERD-Align ★,0.7111111111111111,0.42815249266862176,ERS,8.188934658968217
PhysioNetMI,10,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8,0.5970149253731343,ERS,8.188934658968217
PhysioNetMI,10,ea,tent,EA-train + TENT,0.8,0.5970149253731343,ERS,8.188934658968217
PhysioNetMI,11,raw,no_adapt,No-adapt (baseline),0.7333333333333333,0.4621513944223107,ERS,-6.730381626797245
PhysioNetMI,11,raw,tent,TENT,0.7555555555555555,0.5074626865671641,ERS,-6.730381626797245
PhysioNetMI,11,raw,erd_align,ERD-Align (raw train),0.7333333333333333,0.4621513944223107,ERS,-6.730381626797245
PhysioNetMI,11,ea,no_adapt,EA-train + No-adapt,0.7333333333333333,0.4632206759443339,ERS,-6.730381626797245
PhysioNetMI,11,ea,std_ea,EA-train + Std-EA,0.8,0.5978152929493545,ERS,-6.730381626797245
PhysioNetMI,11,ea,erd_align,EA-train + ERD-Align ★,0.7333333333333333,0.4632206759443339,ERS,-6.730381626797245
PhysioNetMI,11,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7555555555555555,0.5074626865671641,ERS,-6.730381626797245
PhysioNetMI,11,ea,tent,EA-train + TENT,0.7555555555555555,0.5074626865671641,ERS,-6.730381626797245
PhysioNetMI,12,raw,no_adapt,No-adapt (baseline),0.8222222222222222,0.6470588235294118,ERS,9.140556764610416
PhysioNetMI,12,raw,tent,TENT,0.8222222222222222,0.6470588235294118,ERS,9.140556764610416
PhysioNetMI,12,raw,erd_align,ERD-Align (raw train),0.8222222222222222,0.6470588235294118,ERS,9.140556764610416
PhysioNetMI,12,ea,no_adapt,EA-train + No-adapt,0.7333333333333333,0.4736842105263158,ERS,9.140556764610416
PhysioNetMI,12,ea,std_ea,EA-train + Std-EA,0.8666666666666667,0.7352941176470589,ERS,9.140556764610416
PhysioNetMI,12,ea,erd_align,EA-train + ERD-Align ★,0.7333333333333333,0.4736842105263158,ERS,9.140556764610416
PhysioNetMI,12,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8,0.6017699115044248,ERS,9.140556764610416
PhysioNetMI,12,ea,tent,EA-train + TENT,0.8,0.6017699115044248,ERS,9.140556764610416
PhysioNetMI,13,raw,no_adapt,No-adapt (baseline),0.7111111111111111,0.4236453201970444,ERD,-18.809947762836323
PhysioNetMI,13,raw,tent,TENT,0.6888888888888889,0.37869822485207105,ERD,-18.809947762836323
PhysioNetMI,13,raw,erd_align,ERD-Align (raw train),0.6666666666666666,0.33366238894373157,ERD,-18.809947762836323
PhysioNetMI,13,ea,no_adapt,EA-train + No-adapt,0.6222222222222222,0.25073457394711074,ERD,-18.809947762836323
PhysioNetMI,13,ea,std_ea,EA-train + Std-EA,0.7333333333333333,0.46850393700787407,ERD,-18.809947762836323
PhysioNetMI,13,ea,erd_align,EA-train + ERD-Align ★,0.6666666666666666,0.337585868498528,ERD,-18.809947762836323
PhysioNetMI,13,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6222222222222222,0.24778761061946908,ERD,-18.809947762836323
PhysioNetMI,13,ea,tent,EA-train + TENT,0.6444444444444445,0.2913385826771654,ERD,-18.809947762836323
PhysioNetMI,14,raw,no_adapt,No-adapt (baseline),0.6666666666666666,0.3310208126858275,ERS,44.50398541183921
PhysioNetMI,14,raw,tent,TENT,0.6888888888888889,0.37623762376237624,ERS,44.50398541183921
PhysioNetMI,14,raw,erd_align,ERD-Align (raw train),0.6666666666666666,0.3310208126858275,ERS,44.50398541183921
PhysioNetMI,14,ea,no_adapt,EA-train + No-adapt,0.6222222222222222,0.24778761061946908,ERS,44.50398541183921
PhysioNetMI,14,ea,std_ea,EA-train + Std-EA,0.6222222222222222,0.24481737413622906,ERS,44.50398541183921
PhysioNetMI,14,ea,erd_align,EA-train + ERD-Align ★,0.6222222222222222,0.24778761061946908,ERS,44.50398541183921
PhysioNetMI,14,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6222222222222222,0.24481737413622906,ERS,44.50398541183921
PhysioNetMI,14,ea,tent,EA-train + TENT,0.6222222222222222,0.24481737413622906,ERS,44.50398541183921
PhysioNetMI,15,raw,no_adapt,No-adapt (baseline),0.9777777777777777,0.9554896142433235,ERS,-3.8531791307224426
PhysioNetMI,15,raw,tent,TENT,0.9777777777777777,0.9554896142433235,ERS,-3.8531791307224426
PhysioNetMI,15,raw,erd_align,ERD-Align (raw train),0.9777777777777777,0.9554896142433235,ERS,-3.8531791307224426
PhysioNetMI,15,ea,no_adapt,EA-train + No-adapt,0.9111111111111111,0.8221343873517787,ERS,-3.8531791307224426
PhysioNetMI,15,ea,std_ea,EA-train + Std-EA,0.8888888888888888,0.7778874629812438,ERS,-3.8531791307224426
PhysioNetMI,15,ea,erd_align,EA-train + ERD-Align ★,0.9111111111111111,0.8221343873517787,ERS,-3.8531791307224426
PhysioNetMI,15,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.9555555555555556,0.9108910891089109,ERS,-3.8531791307224426
PhysioNetMI,15,ea,tent,EA-train + TENT,0.9555555555555556,0.9108910891089109,ERS,-3.8531791307224426
PhysioNetMI,16,raw,no_adapt,No-adapt (baseline),0.6888888888888889,0.375,ERS,20.413200569112952
PhysioNetMI,16,raw,tent,TENT,0.7333333333333333,0.4653465346534653,ERS,20.413200569112952
PhysioNetMI,16,raw,erd_align,ERD-Align (raw train),0.6888888888888889,0.375,ERS,20.413200569112952
PhysioNetMI,16,ea,no_adapt,EA-train + No-adapt,0.7111111111111111,0.41674975074775666,ERS,20.413200569112952
PhysioNetMI,16,ea,std_ea,EA-train + Std-EA,0.7555555555555555,0.5113524185587365,ERS,20.413200569112952
PhysioNetMI,16,ea,erd_align,EA-train + ERD-Align ★,0.7111111111111111,0.41674975074775666,ERS,20.413200569112952
PhysioNetMI,16,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7333333333333333,0.46850393700787407,ERS,20.413200569112952
PhysioNetMI,16,ea,tent,EA-train + TENT,0.7333333333333333,0.46850393700787407,ERS,20.413200569112952
PhysioNetMI,17,raw,no_adapt,No-adapt (baseline),0.8444444444444444,0.6878097125867195,ERD,-10.140023575801376
PhysioNetMI,17,raw,tent,TENT,0.8666666666666667,0.7326732673267327,ERD,-10.140023575801376
PhysioNetMI,17,raw,erd_align,ERD-Align (raw train),0.7777777777777778,0.5535714285714286,ERD,-10.140023575801376
PhysioNetMI,17,ea,no_adapt,EA-train + No-adapt,0.7111111111111111,0.42250740375123397,ERD,-10.140023575801376
PhysioNetMI,17,ea,std_ea,EA-train + Std-EA,0.8222222222222222,0.6435643564356435,ERD,-10.140023575801376
PhysioNetMI,17,ea,erd_align,EA-train + ERD-Align ★,0.6888888888888889,0.3774703557312252,ERD,-10.140023575801376
PhysioNetMI,17,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8222222222222222,0.6428571428571428,ERD,-10.140023575801376
PhysioNetMI,17,ea,tent,EA-train + TENT,0.8,0.5978152929493545,ERD,-10.140023575801376
PhysioNetMI,18,raw,no_adapt,No-adapt (baseline),1.0,1.0,ERS,13.70748347907345
PhysioNetMI,18,raw,tent,TENT,1.0,1.0,ERS,13.70748347907345
PhysioNetMI,18,raw,erd_align,ERD-Align (raw train),1.0,1.0,ERS,13.70748347907345
PhysioNetMI,18,ea,no_adapt,EA-train + No-adapt,0.9777777777777777,0.9554896142433235,ERS,13.70748347907345
PhysioNetMI,18,ea,std_ea,EA-train + Std-EA,1.0,1.0,ERS,13.70748347907345
PhysioNetMI,18,ea,erd_align,EA-train + ERD-Align ★,0.9777777777777777,0.9554896142433235,ERS,13.70748347907345
PhysioNetMI,18,ea,erd_align_ek,EA-train + ERD-Align+EK ★,1.0,1.0,ERS,13.70748347907345
PhysioNetMI,18,ea,tent,EA-train + TENT,1.0,1.0,ERS,13.70748347907345
PhysioNetMI,19,raw,no_adapt,No-adapt (baseline),0.7777777777777778,0.5526838966202783,ERS,11.354524428767478
PhysioNetMI,19,raw,tent,TENT,0.8222222222222222,0.6428571428571428,ERS,11.354524428767478
PhysioNetMI,19,raw,erd_align,ERD-Align (raw train),0.7777777777777778,0.5526838966202783,ERS,11.354524428767478
PhysioNetMI,19,ea,no_adapt,EA-train + No-adapt,0.8888888888888888,0.7765640516385303,ERS,11.354524428767478
PhysioNetMI,19,ea,std_ea,EA-train + Std-EA,0.8666666666666667,0.7321428571428572,ERS,11.354524428767478
PhysioNetMI,19,ea,erd_align,EA-train + ERD-Align ★,0.8888888888888888,0.7765640516385303,ERS,11.354524428767478
PhysioNetMI,19,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8222222222222222,0.6414342629482072,ERS,11.354524428767478
PhysioNetMI,19,ea,tent,EA-train + TENT,0.8222222222222222,0.6414342629482072,ERS,11.354524428767478
PhysioNetMI,20,raw,no_adapt,No-adapt (baseline),0.7777777777777778,0.5535714285714286,ERS,-2.92830163635945
PhysioNetMI,20,raw,tent,TENT,0.7777777777777778,0.5535714285714286,ERS,-2.92830163635945
PhysioNetMI,20,raw,erd_align,ERD-Align (raw train),0.7777777777777778,0.5535714285714286,ERS,-2.92830163635945
PhysioNetMI,20,ea,no_adapt,EA-train + No-adapt,0.8222222222222222,0.6435643564356435,ERS,-2.92830163635945
PhysioNetMI,20,ea,std_ea,EA-train + Std-EA,0.8222222222222222,0.6442687747035574,ERS,-2.92830163635945
PhysioNetMI,20,ea,erd_align,EA-train + ERD-Align ★,0.8222222222222222,0.6435643564356435,ERS,-2.92830163635945
PhysioNetMI,20,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7777777777777778,0.5544554455445545,ERS,-2.92830163635945
PhysioNetMI,20,ea,tent,EA-train + TENT,0.7777777777777778,0.5544554455445545,ERS,-2.92830163635945
