config,n_ch,method,n_params,mean,median,std,p5,p95,min,max,overhead
BNCI2014_004 (3ch),3,No-adapt,2146,0.3882457571428404,0.3842856159999428,0.0106064630431992,0.38258966219991636,0.4055289036000658,0.38255093999987366,0.41406427800006895,1.0
BNCI2014_004 (3ch),3,EA + No-adapt,2146,0.4544305068571118,0.4540211720000116,0.0058277785529470575,0.4462565725999639,0.46260618859998887,0.44522237599994696,0.46447422799997184,1.1814680360039267
BNCI2014_004 (3ch),3,TENT (1 step),2146,2.118720538285743,2.1149822980000863,0.008530520730484832,2.1091028696000422,2.132106657800091,2.1070594400000573,2.1348139220001485,5.503672815066804
BNCI2014_004 (3ch),3,ERD Screening only,2146,0.41619330771430085,0.4135899299999437,0.006543803252467265,0.4124770678001369,0.4269496621999906,0.4124614060001477,0.43208213000002615,1.0762565986857162
BNCI2014_004 (3ch),3,ERD-Align,2146,1.1457883297142806,1.140885064000031,0.007420976637095078,1.1385782397999265,1.156761565800025,1.1385724239999035,1.157489508000026,2.9688466507687363
BNCI2014_004 (3ch),3,EA + Std-EA,2146,0.4539641462858007,0.4539111880001201,0.0017796632440126433,0.4511278148000201,0.45585821940017013,0.45038904800003365,0.4559580900001947,1.1811818322135368
BNCI2014_004 (3ch),3,EA + ERD-Align,2146,1.1418212851428637,1.1416026219999367,0.003718395183195375,1.13709114219987,1.1473710824000591,1.1367378999998436,1.148205272000041,2.9707139025471787
BNCI2014_004 (3ch),3,EA + ERD-Align + EK (1 step),2146,2.9744805302857458,2.9790318860000298,0.015590230527696038,2.949228758400045,2.991649811999969,2.9423464740000327,2.9929793819999304,7.7521295670886445
