dataset,subject,method,accuracy,kappa,erd_group,erd_value,erd_C3_mu,erd_C3_beta,erd_C3_comp,erd_C4_mu,erd_C4_beta,erd_C4_comp
BNCI2014_001,1,no_adapt,0.7361111111111112,0.4722222222222222,ERS,-2.3777631830740953,-3.6124469127259635,1.634360837216516,-0.9890430377547231,-4.896518820879398,-2.636447835907539,-3.7664833283934676
BNCI2014_001,1,tent,0.7118055555555556,0.42361111111111116,ERS,-2.3777631830740953,-3.6124469127259635,1.634360837216516,-0.9890430377547231,-4.896518820879398,-2.636447835907539,-3.7664833283934676
BNCI2014_001,1,ek_tta,0.7326388888888888,0.4652777777777778,ERS,-2.3777631830740953,-3.6124469127259635,1.634360837216516,-0.9890430377547231,-4.896518820879398,-2.636447835907539,-3.7664833283934676
BNCI2014_001,1,erd_align,0.7361111111111112,0.4722222222222222,ERS,-2.3777631830740953,-3.6124469127259635,1.634360837216516,-0.9890430377547231,-4.896518820879398,-2.636447835907539,-3.7664833283934676
BNCI2014_001,1,erd_align_ek,0.7326388888888888,0.4652777777777778,ERS,-2.3777631830740953,-3.6124469127259635,1.634360837216516,-0.9890430377547231,-4.896518820879398,-2.636447835907539,-3.7664833283934676
BNCI2014_001,2,no_adapt,0.6527777777777778,0.3055555555555556,ERS,49.993068790444255,81.78412700297514,15.807970456619042,48.79604872979709,85.21091065691128,17.16926704527155,51.19008885109142
BNCI2014_001,2,tent,0.65625,0.3125,ERS,49.993068790444255,81.78412700297514,15.807970456619042,48.79604872979709,85.21091065691128,17.16926704527155,51.19008885109142
BNCI2014_001,2,ek_tta,0.5451388888888888,0.09027777777777779,ERS,49.993068790444255,81.78412700297514,15.807970456619042,48.79604872979709,85.21091065691128,17.16926704527155,51.19008885109142
BNCI2014_001,2,erd_align,0.6527777777777778,0.3055555555555556,ERS,49.993068790444255,81.78412700297514,15.807970456619042,48.79604872979709,85.21091065691128,17.16926704527155,51.19008885109142
BNCI2014_001,2,erd_align_ek,0.5451388888888888,0.09027777777777779,ERS,49.993068790444255,81.78412700297514,15.807970456619042,48.79604872979709,85.21091065691128,17.16926704527155,51.19008885109142
BNCI2014_001,3,no_adapt,0.8298611111111112,0.6597222222222222,ERD,-11.124919214745434,-32.141126313644094,-9.08585664166705,-20.613491477655575,-1.3341644328420514,-1.9385294708285383,-1.636346951835294
BNCI2014_001,3,tent,0.8611111111111112,0.7222222222222222,ERD,-11.124919214745434,-32.141126313644094,-9.08585664166705,-20.613491477655575,-1.3341644328420514,-1.9385294708285383,-1.636346951835294
BNCI2014_001,3,ek_tta,0.8506944444444444,0.7013888888888888,ERD,-11.124919214745434,-32.141126313644094,-9.08585664166705,-20.613491477655575,-1.3341644328420514,-1.9385294708285383,-1.636346951835294
BNCI2014_001,3,erd_align,0.8333333333333334,0.6666666666666667,ERD,-11.124919214745434,-32.141126313644094,-9.08585664166705,-20.613491477655575,-1.3341644328420514,-1.9385294708285383,-1.636346951835294
BNCI2014_001,3,erd_align_ek,0.7013888888888888,0.4027777777777778,ERD,-11.124919214745434,-32.141126313644094,-9.08585664166705,-20.613491477655575,-1.3341644328420514,-1.9385294708285383,-1.636346951835294
BNCI2014_001,4,no_adapt,0.6527777777777778,0.3055555555555556,ERS,16.128737419134836,22.196780265946124,-0.3371464222521531,10.929816921846985,32.073856312495224,10.58145952035015,21.327657916422684
BNCI2014_001,4,tent,0.59375,0.1875,ERS,16.128737419134836,22.196780265946124,-0.3371464222521531,10.929816921846985,32.073856312495224,10.58145952035015,21.327657916422684
BNCI2014_001,4,ek_tta,0.6805555555555556,0.36111111111111116,ERS,16.128737419134836,22.196780265946124,-0.3371464222521531,10.929816921846985,32.073856312495224,10.58145952035015,21.327657916422684
BNCI2014_001,4,erd_align,0.6527777777777778,0.3055555555555556,ERS,16.128737419134836,22.196780265946124,-0.3371464222521531,10.929816921846985,32.073856312495224,10.58145952035015,21.327657916422684
BNCI2014_001,4,erd_align_ek,0.6805555555555556,0.36111111111111116,ERS,16.128737419134836,22.196780265946124,-0.3371464222521531,10.929816921846985,32.073856312495224,10.58145952035015,21.327657916422684
BNCI2014_001,5,no_adapt,0.8263888888888888,0.6527777777777778,ERS,5.788285013714788,6.56857725845718,3.186180445913875,4.8773788521855295,9.84098515024121,3.557397200246881,6.699191175244045
BNCI2014_001,5,tent,0.8090277777777778,0.6180555555555556,ERS,5.788285013714788,6.56857725845718,3.186180445913875,4.8773788521855295,9.84098515024121,3.557397200246881,6.699191175244045
BNCI2014_001,5,ek_tta,0.78125,0.5625,ERS,5.788285013714788,6.56857725845718,3.186180445913875,4.8773788521855295,9.84098515024121,3.557397200246881,6.699191175244045
BNCI2014_001,5,erd_align,0.8263888888888888,0.6527777777777778,ERS,5.788285013714788,6.56857725845718,3.186180445913875,4.8773788521855295,9.84098515024121,3.557397200246881,6.699191175244045
BNCI2014_001,5,erd_align_ek,0.78125,0.5625,ERS,5.788285013714788,6.56857725845718,3.186180445913875,4.8773788521855295,9.84098515024121,3.557397200246881,6.699191175244045
BNCI2014_001,6,no_adapt,0.7847222222222222,0.5694444444444444,ERS,12.027531624921886,28.728016406115078,-0.7727187243462201,13.97764884088443,17.650265770026504,2.5045630478921788,10.077414408959342
BNCI2014_001,6,tent,0.7569444444444444,0.5138888888888888,ERS,12.027531624921886,28.728016406115078,-0.7727187243462201,13.97764884088443,17.650265770026504,2.5045630478921788,10.077414408959342
BNCI2014_001,6,ek_tta,0.6944444444444444,0.38888888888888884,ERS,12.027531624921886,28.728016406115078,-0.7727187243462201,13.97764884088443,17.650265770026504,2.5045630478921788,10.077414408959342
BNCI2014_001,6,erd_align,0.7847222222222222,0.5694444444444444,ERS,12.027531624921886,28.728016406115078,-0.7727187243462201,13.97764884088443,17.650265770026504,2.5045630478921788,10.077414408959342
BNCI2014_001,6,erd_align_ek,0.6944444444444444,0.38888888888888884,ERS,12.027531624921886,28.728016406115078,-0.7727187243462201,13.97764884088443,17.650265770026504,2.5045630478921788,10.077414408959342
BNCI2014_001,7,no_adapt,0.8125,0.625,ERD,-16.192350761135,-7.796592471754399,-28.206309971060932,-18.001451221407663,-8.090781943531976,-20.67571865819269,-14.383250300862336
BNCI2014_001,7,tent,0.7152777777777778,0.4305555555555556,ERD,-16.192350761135,-7.796592471754399,-28.206309971060932,-18.001451221407663,-8.090781943531976,-20.67571865819269,-14.383250300862336
