dataset,subject,train_mode,test_mode,label,accuracy,kappa,erd_group,erd_value
BNCI2014_004,1,raw,no_adapt,No-adapt (baseline),0.7444444444444445,0.48888888888888893,ERS,0.5629153192435008
BNCI2014_004,1,raw,tent,TENT,0.5625,0.125,ERS,0.5629153192435008
BNCI2014_004,1,raw,erd_align,ERD-Align (raw train),0.7444444444444445,0.48888888888888893,ERS,0.5629153192435008
BNCI2014_004,1,ea,no_adapt,EA-train + No-adapt,0.7486111111111111,0.49722222222222223,ERS,0.5629153192435008
BNCI2014_004,1,ea,std_ea,EA-train + Std-EA,0.7569444444444444,0.5138888888888888,ERS,0.5629153192435008
BNCI2014_004,1,ea,erd_align,EA-train + ERD-Align ★,0.7486111111111111,0.49722222222222223,ERS,0.5629153192435008
BNCI2014_004,1,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6833333333333333,0.3666666666666667,ERS,0.5629153192435008
BNCI2014_004,1,ea,tent,EA-train + TENT,0.575,0.15000000000000002,ERS,0.5629153192435008
BNCI2014_004,2,raw,no_adapt,No-adapt (baseline),0.7058823529411765,0.4117647058823529,ERD,-11.27570685350712
BNCI2014_004,2,raw,tent,TENT,0.5808823529411765,0.16176470588235292,ERD,-11.27570685350712
BNCI2014_004,2,raw,erd_align,ERD-Align (raw train),0.7014705882352941,0.40294117647058825,ERD,-11.27570685350712
BNCI2014_004,2,ea,no_adapt,EA-train + No-adapt,0.5558823529411765,0.11176470588235299,ERD,-11.27570685350712
BNCI2014_004,2,ea,std_ea,EA-train + Std-EA,0.6911764705882353,0.38235294117647056,ERD,-11.27570685350712
BNCI2014_004,2,ea,erd_align,EA-train + ERD-Align ★,0.5985294117647059,0.19705882352941173,ERD,-11.27570685350712
BNCI2014_004,2,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6264705882352941,0.2529411764705882,ERD,-11.27570685350712
BNCI2014_004,2,ea,tent,EA-train + TENT,0.5441176470588235,0.08823529411764708,ERD,-11.27570685350712
BNCI2014_004,3,raw,no_adapt,No-adapt (baseline),0.6138888888888889,0.22777777777777775,ERS,46.66471093176428
BNCI2014_004,3,raw,tent,TENT,0.5097222222222222,0.019444444444444486,ERS,46.66471093176428
BNCI2014_004,3,raw,erd_align,ERD-Align (raw train),0.6138888888888889,0.22777777777777775,ERS,46.66471093176428
BNCI2014_004,3,ea,no_adapt,EA-train + No-adapt,0.5819444444444445,0.16388888888888886,ERS,46.66471093176428
BNCI2014_004,3,ea,std_ea,EA-train + Std-EA,0.6138888888888889,0.22777777777777775,ERS,46.66471093176428
BNCI2014_004,3,ea,erd_align,EA-train + ERD-Align ★,0.5819444444444445,0.16388888888888886,ERS,46.66471093176428
BNCI2014_004,3,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.5819444444444445,0.16388888888888886,ERS,46.66471093176428
BNCI2014_004,3,ea,tent,EA-train + TENT,0.5125,0.025000000000000022,ERS,46.66471093176428
BNCI2014_004,4,raw,no_adapt,No-adapt (baseline),0.7878378378378378,0.5756756756756757,ERS,24.077991701673607
BNCI2014_004,4,raw,tent,TENT,0.6459459459459459,0.2918918918918919,ERS,24.077991701673607
BNCI2014_004,4,raw,erd_align,ERD-Align (raw train),0.7878378378378378,0.5756756756756757,ERS,24.077991701673607
BNCI2014_004,4,ea,no_adapt,EA-train + No-adapt,0.8040540540540541,0.6081081081081081,ERS,24.077991701673607
BNCI2014_004,4,ea,std_ea,EA-train + Std-EA,0.8297297297297297,0.6594594594594594,ERS,24.077991701673607
BNCI2014_004,4,ea,erd_align,EA-train + ERD-Align ★,0.8040540540540541,0.6081081081081081,ERS,24.077991701673607
BNCI2014_004,4,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.9094594594594595,0.8189189189189189,ERS,24.077991701673607
BNCI2014_004,4,ea,tent,EA-train + TENT,0.6527027027027027,0.3054054054054054,ERS,24.077991701673607
BNCI2014_004,5,raw,no_adapt,No-adapt (baseline),0.8135135135135135,0.6270270270270271,ERD,-18.79140904357806
BNCI2014_004,5,raw,tent,TENT,0.5608108108108109,0.1216216216216216,ERD,-18.79140904357806
BNCI2014_004,5,raw,erd_align,ERD-Align (raw train),0.8283783783783784,0.6567567567567567,ERD,-18.79140904357806
BNCI2014_004,5,ea,no_adapt,EA-train + No-adapt,0.85,0.7,ERD,-18.79140904357806
BNCI2014_004,5,ea,std_ea,EA-train + Std-EA,0.8175675675675675,0.6351351351351351,ERD,-18.79140904357806
BNCI2014_004,5,ea,erd_align,EA-train + ERD-Align ★,0.8527027027027027,0.7054054054054054,ERD,-18.79140904357806
BNCI2014_004,5,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8472972972972973,0.6945945945945946,ERD,-18.79140904357806
BNCI2014_004,5,ea,tent,EA-train + TENT,0.7594594594594595,0.518918918918919,ERD,-18.79140904357806
BNCI2014_004,6,raw,no_adapt,No-adapt (baseline),0.7888888888888889,0.5777777777777777,ERD,-15.053883100201865
BNCI2014_004,6,raw,tent,TENT,0.5611111111111111,0.12222222222222223,ERD,-15.053883100201865
BNCI2014_004,6,raw,erd_align,ERD-Align (raw train),0.8083333333333333,0.6166666666666667,ERD,-15.053883100201865
BNCI2014_004,6,ea,no_adapt,EA-train + No-adapt,0.7513888888888889,0.5027777777777778,ERD,-15.053883100201865
BNCI2014_004,6,ea,std_ea,EA-train + Std-EA,0.8222222222222222,0.6444444444444444,ERD,-15.053883100201865
BNCI2014_004,6,ea,erd_align,EA-train + ERD-Align ★,0.8347222222222223,0.6694444444444445,ERD,-15.053883100201865
BNCI2014_004,6,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7430555555555556,0.48611111111111116,ERD,-15.053883100201865
BNCI2014_004,6,ea,tent,EA-train + TENT,0.5388888888888889,0.07777777777777772,ERD,-15.053883100201865
BNCI2014_004,7,raw,no_adapt,No-adapt (baseline),0.8583333333333333,0.7166666666666667,ERS,23.26046284537918
BNCI2014_004,7,raw,tent,TENT,0.8527777777777777,0.7055555555555555,ERS,23.26046284537918
BNCI2014_004,7,raw,erd_align,ERD-Align (raw train),0.8583333333333333,0.7166666666666667,ERS,23.26046284537918
BNCI2014_004,7,ea,no_adapt,EA-train + No-adapt,0.8333333333333334,0.6666666666666667,ERS,23.26046284537918
BNCI2014_004,7,ea,std_ea,EA-train + Std-EA,0.8486111111111111,0.6972222222222222,ERS,23.26046284537918
BNCI2014_004,7,ea,erd_align,EA-train + ERD-Align ★,0.8333333333333334,0.6666666666666667,ERS,23.26046284537918
BNCI2014_004,7,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.8347222222222223,0.6694444444444445,ERS,23.26046284537918
BNCI2014_004,7,ea,tent,EA-train + TENT,0.55,0.09999999999999998,ERS,23.26046284537918
BNCI2014_004,8,raw,no_adapt,No-adapt (baseline),0.7513157894736842,0.5026315789473684,ERS,66.64551156032095
BNCI2014_004,8,raw,tent,TENT,0.6039473684210527,0.20789473684210524,ERS,66.64551156032095
BNCI2014_004,8,raw,erd_align,ERD-Align (raw train),0.7513157894736842,0.5026315789473684,ERS,66.64551156032095
BNCI2014_004,8,ea,no_adapt,EA-train + No-adapt,0.7394736842105263,0.4789473684210527,ERS,66.64551156032095
BNCI2014_004,8,ea,std_ea,EA-train + Std-EA,0.8092105263157895,0.618421052631579,ERS,66.64551156032095
BNCI2014_004,8,ea,erd_align,EA-train + ERD-Align ★,0.7394736842105263,0.4789473684210527,ERS,66.64551156032095
BNCI2014_004,8,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.7697368421052632,0.5394736842105263,ERS,66.64551156032095
BNCI2014_004,8,ea,tent,EA-train + TENT,0.5789473684210527,0.1578947368421053,ERS,66.64551156032095
BNCI2014_004,9,raw,no_adapt,No-adapt (baseline),0.7666666666666667,0.5333333333333333,ERS,22.05780550988544
BNCI2014_004,9,raw,tent,TENT,0.5777777777777777,0.15555555555555556,ERS,22.05780550988544
BNCI2014_004,9,raw,erd_align,ERD-Align (raw train),0.7666666666666667,0.5333333333333333,ERS,22.05780550988544
BNCI2014_004,9,ea,no_adapt,EA-train + No-adapt,0.7361111111111112,0.4722222222222222,ERS,22.05780550988544
BNCI2014_004,9,ea,std_ea,EA-train + Std-EA,0.7819444444444444,0.5638888888888889,ERS,22.05780550988544
BNCI2014_004,9,ea,erd_align,EA-train + ERD-Align ★,0.7361111111111112,0.4722222222222222,ERS,22.05780550988544
BNCI2014_004,9,ea,erd_align_ek,EA-train + ERD-Align+EK ★,0.6569444444444444,0.3138888888888889,ERS,22.05780550988544
BNCI2014_004,9,ea,tent,EA-train + TENT,0.5555555555555556,0.11111111111111116,ERS,22.05780550988544
